Equation	Cut_Index	Radius_Next	Velocity_Next
RP	19717	0.000000e+00	0.000000e+00
RP	12122	0.000000e+00	0.000000e+00
RP	3794	0.000000e+00	0.000000e+00
RP	5038	0.000000e+00	0.000000e+00
RP	883	0.000000e+00	0.000000e+00
RP	915	0.000000e+00	0.000000e+00
RP	942	0.000000e+00	0.000000e+00
RP	965	0.000000e+00	0.000000e+00
RP	985	0.000000e+00	0.000000e+00
RP	1004	0.000000e+00	0.000000e+00
RP	1020	0.000000e+00	0.000000e+00
RP	1035	0.000000e+00	0.000000e+00
RP	1049	0.000000e+00	0.000000e+00
RP	1063	0.000000e+00	0.000000e+00
RP	1075	0.000000e+00	0.000000e+00
RP	1087	0.000000e+00	0.000000e+00
RP	1098	0.000000e+00	0.000000e+00
RP	1109	0.000000e+00	0.000000e+00
RP	1119	0.000000e+00	0.000000e+00
RP	1129	0.000000e+00	0.000000e+00
RP	1139	0.000000e+00	0.000000e+00
RP	1149	0.000000e+00	0.000000e+00
RP	1159	0.000000e+00	0.000000e+00
RP	1168	0.000000e+00	0.000000e+00
RP	1178	0.000000e+00	0.000000e+00
RP	1187	0.000000e+00	0.000000e+00
RP	1197	0.000000e+00	0.000000e+00
RP	1207	0.000000e+00	0.000000e+00
RP	1217	0.000000e+00	0.000000e+00
RP	1228	0.000000e+00	0.000000e+00
RP	1240	0.000000e+00	0.000000e+00
RP	1252	0.000000e+00	0.000000e+00
RP	1266	0.000000e+00	0.000000e+00
RP	1281	0.000000e+00	0.000000e+00
RP	1301	0.000000e+00	0.000000e+00
RP	1327	0.000000e+00	0.000000e+00
RP	1731	0.000000e+00	0.000000e+00
RP	1709	0.000000e+00	0.000000e+00
RP	1755	0.000000e+00	0.000000e+00
RP	1784	0.000000e+00	0.000000e+00
RP	1805	0.000000e+00	0.000000e+00
RP	1823	0.000000e+00	0.000000e+00
RP	1838	0.000000e+00	0.000000e+00
RP	1852	0.000000e+00	0.000000e+00
RP	1863	0.000000e+00	0.000000e+00
RP	1874	0.000000e+00	0.000000e+00
RP	1884	0.000000e+00	0.000000e+00
RP	1893	0.000000e+00	0.000000e+00
RP	1901	0.000000e+00	0.000000e+00
RP	1909	0.000000e+00	0.000000e+00
RP	200000	2.351073e+00	-8.474468e+00
RP	200000	7.335635e+00	-7.802207e-01
RP	14989	0.000000e+00	0.000000e+00
RP	6006	0.000000e+00	0.000000e+00
RP	11265	0.000000e+00	0.000000e+00
RP	9061	0.000000e+00	0.000000e+00
RP	29895	0.000000e+00	0.000000e+00
RP	3924	0.000000e+00	0.000000e+00
RP	4011	0.000000e+00	0.000000e+00
RP	4068	0.000000e+00	0.000000e+00
RP	4103	0.000000e+00	0.000000e+00
RP	4116	0.000000e+00	0.000000e+00
RP	4109	0.000000e+00	0.000000e+00
RP	4083	0.000000e+00	0.000000e+00
RP	4041	0.000000e+00	0.000000e+00
RP	3982	0.000000e+00	0.000000e+00
RP	3898	0.000000e+00	0.000000e+00
RP	6059	0.000000e+00	0.000000e+00
RP	4943	0.000000e+00	0.000000e+00
RP	1211	0.000000e+00	0.000000e+00
RP	2995	0.000000e+00	0.000000e+00
RP	2812	0.000000e+00	0.000000e+00
RP	2172	0.000000e+00	0.000000e+00
RP	2063	0.000000e+00	0.000000e+00
RP	1973	0.000000e+00	0.000000e+00
RP	1871	0.000000e+00	0.000000e+00
RP	3935	0.000000e+00	0.000000e+00
RP	4881	0.000000e+00	0.000000e+00
RP	3857	0.000000e+00	0.000000e+00
RP	1790	0.000000e+00	0.000000e+00
RP	1814	0.000000e+00	0.000000e+00
RP	1834	0.000000e+00	0.000000e+00
RP	1850	0.000000e+00	0.000000e+00
RP	1865	0.000000e+00	0.000000e+00
RP	1878	0.000000e+00	0.000000e+00
RP	1890	0.000000e+00	0.000000e+00
RP	1901	0.000000e+00	0.000000e+00
RP	1911	0.000000e+00	0.000000e+00
RP	1921	0.000000e+00	0.000000e+00
RP	1929	0.000000e+00	0.000000e+00
RP	1937	0.000000e+00	0.000000e+00
RP	1945	0.000000e+00	0.000000e+00
RP	1952	0.000000e+00	0.000000e+00
RP	1959	0.000000e+00	0.000000e+00
RP	1966	0.000000e+00	0.000000e+00
RP	1972	0.000000e+00	0.000000e+00
RP	1978	0.000000e+00	0.000000e+00
RP	1984	0.000000e+00	0.000000e+00
RP	1989	0.000000e+00	0.000000e+00
RP	1994	0.000000e+00	0.000000e+00
RP	200000	1.585352e+00	-5.225634e+00
RP	200000	1.985595e+00	-5.501190e+00
RP	60171	0.000000e+00	0.000000e+00
RP	23856	0.000000e+00	0.000000e+00
RP	52014	0.000000e+00	0.000000e+00
RP	18069	0.000000e+00	0.000000e+00
RP	25048	0.000000e+00	0.000000e+00
RP	37138	0.000000e+00	0.000000e+00
RP	34245	0.000000e+00	0.000000e+00
RP	10014	0.000000e+00	0.000000e+00
RP	11935	0.000000e+00	0.000000e+00
RP	32036	0.000000e+00	0.000000e+00
RP	6979	0.000000e+00	0.000000e+00
RP	19000	0.000000e+00	0.000000e+00
RP	11328	0.000000e+00	0.000000e+00
RP	7104	0.000000e+00	0.000000e+00
RP	6114	0.000000e+00	0.000000e+00
