Equation	Cut_Index	Radius_Next	Velocity_Next
KM	200000	6.914581e-01	-6.148729e+00
KM	200000	4.617970e+00	-1.491698e+01
KM	200000	7.182332e+00	-5.250973e+00
KM	200000	7.406771e+00	-5.035513e+00
KM	200000	7.472239e+00	-5.098373e+00
KM	200000	7.354899e+00	-8.096484e+00
KM	200000	4.497780e-01	3.348110e+01
KM	200000	7.545908e+00	-8.135614e+00
KM	200000	7.657345e+00	-5.464511e+00
KM	200000	7.796913e+00	-5.406657e+00
KM	200000	7.817069e+00	-5.541382e+00
KM	200000	1.102521e+00	-3.556889e+00
KM	200000	1.278629e+00	-9.025072e+00
KM	200000	2.960494e+00	-9.296478e-01
KM	200000	2.730717e+00	-1.347019e+00
KM	200000	2.916766e+00	-1.375921e+00
KM	200000	2.935669e+00	-1.581622e+00
KM	200000	2.995337e+00	-1.783667e+00
KM	200000	3.532829e+00	-1.370614e+00
KM	200000	9.993219e-01	7.044552e+00
KM	200000	3.073225e+00	-4.326965e+00
KM	200000	2.286020e+00	-6.999726e+00
KM	200000	3.980754e+00	-1.517723e+00
KM	200000	1.449566e+00	-1.483421e+01
KM	200000	3.746947e+00	-3.942250e+00
KM	200000	1.277632e+00	6.383781e-01
KM	200000	1.216488e+00	4.587848e+00
KM	200000	3.015807e+00	-4.337220e+00
KM	200000	1.898773e+00	-1.266032e+01
KM	200000	8.083365e-01	1.068953e+01
KM	200000	6.063424e-01	1.636936e+01
KM	200000	4.083081e-01	2.792799e+01
KM	200000	7.555105e-01	1.184533e+01
KM	200000	1.432127e+00	-2.763627e+01
KM	200000	1.952366e+00	-1.854604e+01
KM	200000	3.956357e+00	-5.735565e+00
KM	200000	3.559085e+00	-7.005657e+00
KM	200000	4.830028e+00	-2.664417e+00
KM	200000	3.352345e+00	-6.023065e+00
KM	200000	5.112175e+00	-2.551391e+00
KM	200000	4.351201e+00	-5.887282e+00
KM	200000	4.325031e+00	-6.092168e+00
KM	200000	3.001030e+00	-8.423713e+00
KM	200000	3.072896e+00	-1.267614e+01
KM	200000	3.563477e+00	-1.056829e+01
KM	200000	5.274699e+00	-3.115040e+00
KM	200000	4.238357e+00	-5.268455e+00
KM	200000	4.894022e+00	-5.967280e+00
KM	200000	5.667018e+00	-2.942364e+00
KM	200000	9.955598e-01	-4.434112e-01
KM	200000	4.324209e+00	-7.844796e+00
KM	200000	5.608692e+00	-5.311741e+00
KM	200000	5.402659e+00	-5.809785e+00
KM	200000	8.462745e-01	9.612127e+00
KM	200000	5.923157e+00	-3.302782e+00
KM	200000	6.024924e+00	-3.257921e+00
KM	200000	4.353485e+00	-6.809812e+00
KM	200000	6.123986e+00	-3.347677e+00
KM	200000	2.521904e+00	-1.713659e+01
KM	200000	6.562439e+00	-4.933458e+00
KM	200000	6.248354e+00	-5.494979e+00
KM	200000	1.300551e+00	-1.771734e+00
KM	200000	1.619063e+00	-1.706497e+00
KM	200000	1.311768e+00	-1.267764e+00
KM	200000	2.368239e+00	-2.398696e+00
KM	200000	7.499015e-01	8.679842e+00
KM	200000	2.349488e+00	-1.282304e+00
KM	200000	3.088863e+00	-7.566291e-01
KM	200000	3.303959e+00	-5.416102e-01
KM	200000	6.177163e-01	-3.032684e+01
KM	200000	3.294276e+00	-7.413699e-01
KM	200000	3.350006e+00	-8.090904e-01
KM	200000	3.064107e+00	-2.776859e+00
KM	200000	1.936096e+00	-7.482743e+00
KM	200000	3.104893e+00	-1.467302e+00
KM	200000	3.177207e+00	-1.513697e+00
KM	200000	1.339065e+00	-1.081895e+01
KM	200000	1.172090e+00	3.750366e-01
KM	200000	3.043797e+00	-2.328566e+00
KM	200000	3.393985e+00	-3.202590e+00
KM	200000	3.147776e+00	-2.286466e+00
KM	200000	2.618658e+00	-3.554189e+00
KM	200000	4.100461e+00	-1.268133e+00
KM	200000	1.300514e+00	-1.523102e+01
KM	200000	2.501982e+00	-7.641519e+00
KM	200000	7.775468e-01	-3.046645e+00
KM	200000	4.605856e+00	-2.512232e+00
KM	200000	3.393211e+00	-2.861048e+00
KM	200000	1.048877e+00	2.584228e-02
KM	200000	3.386459e+00	-3.231088e+00
KM	200000	4.264005e+00	-1.863920e+00
KM	200000	3.752925e+00	-5.261587e+00
KM	200000	2.706078e+00	-5.454419e+00
KM	200000	2.217980e+00	-9.872920e+00
KM	200000	2.910005e+00	-6.895242e+00
KM	200000	1.096952e+00	3.261637e+00
KM	200000	4.550055e-01	-7.689350e+01
KM	200000	4.415530e+00	-2.417604e+00
KM	200000	2.450355e+00	-1.141265e+01
KM	200000	7.690419e-01	-2.075892e-02
KM	200000	2.767269e+00	-1.005105e+01
KM	200000	4.403044e+00	-2.802859e+00
KM	200000	1.047360e+00	3.917271e+00
KM	200000	8.886724e-01	6.765057e+00
KM	200000	2.887437e+00	-7.085128e+00
KM	200000	5.057134e+00	-3.818936e+00
KM	200000	7.145882e-01	1.000300e+01
KM	200000	6.595177e-01	1.132509e+01
KM	200000	5.207493e+00	-2.303488e+00
KM	200000	5.788143e-01	1.371300e+01
KM	200000	6.776121e-01	1.084894e+01
KM	200000	1.801958e+00	-2.192051e-01
KM	200000	1.450914e+00	-2.490675e+00
KM	200000	1.145530e+00	-3.792803e+00
KM	200000	1.780367e+00	-7.124214e-01
KM	200000	2.519587e+00	-1.513692e-01
KM	200000	1.189494e+00	-4.298047e+00
KM	200000	2.033767e+00	-3.489189e+00
KM	200000	8.117113e-01	6.669520e+00
KM	200000	3.113831e+00	-1.272430e+00
KM	200000	2.897292e+00	-4.241045e-01
KM	200000	7.880190e-01	-6.763318e+00
KM	200000	9.676549e-01	-8.538108e+00
KM	200000	3.215792e+00	-4.936927e-01
KM	200000	2.395573e+00	-1.550063e+00
KM	200000	3.054749e+00	-2.694587e+00
KM	200000	2.060758e+00	-2.538189e+00
KM	200000	3.314448e+00	-1.811893e+00
KM	200000	3.287179e+00	-9.157348e-01
KM	200000	3.623157e+00	-1.725652e+00
KM	200000	5.782315e-01	1.142090e+01
KM	200000	3.283070e-01	2.396217e+01
KM	200000	3.997508e+00	-1.592734e+00
KM	200000	3.716000e+00	-8.098523e-01
KM	200000	3.755410e+00	-8.344798e-01
KM	200000	3.499572e+00	-3.096553e+00
KM	200000	3.517879e+00	-3.167591e+00
KM	200000	1.375898e+00	-1.425960e+01
KM	200000	1.026640e+00	4.002730e+00
KM	200000	1.233243e+00	-1.263468e+01
KM	200000	3.422071e+00	-1.688735e+00
KM	200000	3.277384e+00	-1.997967e+00
KM	200000	3.484697e+00	-1.781747e+00
KM	200000	2.652199e+00	-3.466862e+00
KM	200000	4.288007e+00	-2.924108e+00
KM	200000	3.289542e+00	-3.650985e+00
KM	200000	1.959406e+00	-6.442575e+00
KM	200000	1.007223e+00	7.137416e-01
KM	200000	3.364042e+00	-2.538617e+00
KM	200000	1.625025e+00	-1.489389e+01
KM	200000	4.346912e+00	-3.316097e+00
KM	200000	2.304155e-01	3.603285e+01
KM	200000	4.537348e+00	-3.253524e+00
KM	200000	4.452874e+00	-3.419809e+00
KM	200000	4.640321e+00	-3.274978e+00
KM	200000	3.124720e+00	-3.761470e+00
KM	200000	3.262324e+00	-4.909578e+00
KM	200000	4.443807e+00	-1.681157e+00
KM	200000	3.008915e+00	-7.643328e+00
KM	200000	4.159259e+00	-2.202125e+00
KM	200000	3.653583e+00	-3.176087e+00
KM	200000	9.829872e-01	-1.931103e+00
KM	200000	1.046403e+00	-2.150811e+00
KM	200000	1.106120e+00	-2.307299e+00
KM	200000	2.058603e+00	-1.139119e+00
KM	200000	1.930041e+00	-5.949164e-01
KM	200000	2.040079e+00	-1.280977e+00
KM	200000	1.233551e+00	1.569444e+00
KM	200000	6.654858e-01	1.261629e+00
KM	200000	3.198070e+00	-6.835868e-01
KM	200000	9.176359e-01	-1.035767e+01
KM	200000	9.051871e-01	-1.084543e+01
KM	200000	3.326705e+00	-7.827732e-01
KM	200000	2.700521e+00	-1.390040e+00
KM	200000	1.574560e+00	-5.702852e+00
KM	200000	2.695586e+00	-5.482711e-01
KM	200000	3.152669e+00	-2.353852e-01
KM	200000	3.147650e+00	-1.311295e+00
KM	200000	3.456213e+00	-1.647869e+00
KM	200000	9.466938e-01	4.242135e+00
KM	200000	3.231904e+00	-4.671960e-01
KM	200000	3.123875e+00	-5.542256e-01
KM	200000	3.355435e+00	-4.384486e-01
KM	200000	9.157938e-01	2.505584e+00
KM	200000	1.553311e+00	-7.726193e+00
KM	200000	3.700868e+00	-1.887528e+00
KM	200000	2.733317e+00	-1.358664e+00
KM	200000	2.350261e+00	-2.221508e+00
KM	200000	9.670596e-01	-2.951431e-01
KM	200000	2.799450e+00	-3.913380e+00
KM	200000	6.970765e-01	7.334873e+00
KM	200000	2.344618e+00	-2.525639e+00
KM	200000	3.357205e+00	-1.122923e+00
KM	200000	2.541749e+00	-3.485576e+00
KM	200000	3.488349e+00	-1.089392e+00
KM	200000	3.508901e+00	-1.042686e+00
KM	200000	3.612836e+00	-1.061205e+00
KM	200000	3.675383e+00	-1.045527e+00
KM	200000	3.452575e+00	-2.409695e+00
KM	200000	9.637650e-01	3.579369e+00
KM	200000	3.647192e+00	-3.426151e+00
KM	200000	3.398387e+00	-1.566361e+00
KM	200000	3.745413e+00	-3.435214e+00
KM	200000	3.959769e+00	-1.032280e+00
KM	200000	3.982808e+00	-1.059317e+00
KM	200000	5.830294e-01	9.543963e+00
KM	200000	4.643809e+00	-2.248823e+00
KM	200000	4.038342e+00	-1.152720e+00
KM	200000	3.927581e+00	-3.596114e+00
KM	200000	8.081502e-01	5.526712e+00
KM	200000	3.923024e+00	-1.441047e+00
KM	200000	1.001773e+00	-5.895287e-01
KM	200000	1.003797e+00	-7.584553e-01
KM	200000	9.558473e-01	-1.306724e+00
KM	200000	9.749584e-01	-1.716571e+00
KM	200000	1.013371e+00	-1.964645e+00
KM	200000	1.328455e+00	-3.897384e+00
KM	200000	2.940641e+00	-3.940497e-01
KM	200000	5.397251e-01	-4.567054e-01
KM	200000	7.005689e-01	3.019836e+00
KM	200000	2.640618e+00	-7.811118e-01
KM	200000	1.144856e+00	-4.277663e+00
KM	200000	2.288274e+00	-2.290889e+00
KM	200000	2.092148e+00	-1.434264e+00
KM	200000	2.083794e+00	-5.694953e-01
KM	200000	2.365266e+00	-1.868894e+00
KM	200000	2.690489e+00	-1.643904e+00
KM	200000	3.416759e+00	-6.368777e-01
KM	200000	2.375100e+00	-7.068974e-01
KM	200000	2.916141e+00	-2.007804e+00
KM	200000	2.982645e+00	-2.002043e+00
KM	200000	3.088949e+00	-1.925232e-01
KM	200000	3.494136e+00	-8.210813e-01
KM	200000	2.970446e+00	-3.365169e-01
KM	200000	2.822101e+00	-5.234070e-01
KM	200000	2.910789e+00	-1.431966e+00
KM	200000	3.136279e+00	-3.587558e-01
KM	200000	1.548040e+00	-6.966167e+00
KM	200000	2.784276e+00	-7.935451e-01
KM	200000	2.354077e+00	-3.561515e+00
KM	200000	3.905011e+00	-8.849115e-01
KM	200000	3.203594e+00	-6.243648e-01
KM	200000	3.052676e+00	-7.357665e-01
KM	200000	2.643600e+00	-3.334797e+00
KM	200000	3.376487e+00	-5.378722e-01
KM	200000	3.614650e+00	-2.214281e+00
KM	200000	3.950841e+00	-1.593329e+00
KM	200000	2.252301e+00	-2.270753e+00
KM	200000	3.660691e+00	-2.322996e+00
KM	200000	2.590429e+00	-3.943121e+00
KM	200000	3.418330e+00	-1.736402e+00
KM	200000	1.303202e+00	-6.472691e+00
KM	200000	4.161122e+00	-1.190930e+00
KM	200000	4.253242e+00	-1.174888e+00
KM	200000	4.021734e+00	-1.378670e+00
KM	200000	2.129176e+00	-3.293259e+00
KM	200000	1.348731e+00	-1.093518e+01
KM	200000	2.758934e+00	-2.054464e+00
KM	200000	3.019979e+00	-1.689176e+00
KM	200000	3.886366e+00	-2.657636e+00
KM	200000	4.393202e+00	-1.345516e+00
KM	200000	9.990100e-01	-4.448847e-01
KM	200000	9.988357e-01	-5.731914e-01
KM	200000	9.988950e-01	-7.021453e-01
KM	200000	9.993251e-01	-8.311745e-01
KM	200000	1.816720e+00	2.410762e-01
KM	200000	1.368502e+00	-1.519864e+00
KM	200000	2.740218e+00	-2.864504e-01
KM	200000	1.118461e+00	-1.011159e+00
KM	200000	2.794943e+00	-7.543139e-01
KM	200000	2.989927e+00	-2.621001e-01
KM	200000	2.621049e+00	-1.326691e+00
KM	200000	2.957616e+00	-4.131042e-01
KM	200000	1.808570e+00	-1.969395e+00
KM	200000	1.295584e+00	-1.333260e+00
KM	200000	2.133774e+00	-1.091689e+00
KM	200000	2.111727e+00	-1.122793e+00
KM	200000	3.131188e+00	-4.858165e-01
KM	200000	3.084603e+00	-5.229606e-01
KM	200000	1.854120e+00	-2.248641e+00
KM	200000	1.711207e+00	-1.138250e+00
KM	200000	2.447574e+00	-1.627022e+00
KM	200000	2.319900e+00	-2.693182e+00
KM	200000	2.390126e+00	-2.640175e+00
KM	200000	3.494282e+00	-9.746047e-01
KM	200000	1.961216e+00	-2.651568e+00
KM	200000	2.945894e+00	-1.662966e-01
KM	200000	2.837673e+00	-1.161112e+00
KM	200000	3.673285e+00	-9.973733e-01
KM	200000	3.677669e+00	-1.040430e+00
KM	200000	3.803454e+00	-9.960174e-01
KM	200000	3.554070e+00	-1.508503e+00
KM	200000	3.389345e+00	-9.172130e-01
KM	200000	3.660455e+00	-1.516519e+00
KM	200000	3.030898e+00	-1.312178e+00
KM	200000	9.130267e-01	3.185400e+00
KM	200000	3.781738e+00	-1.542353e+00
KM	200000	3.230389e+00	-3.790594e-01
KM	200000	3.874467e+00	-7.911418e-01
KM	200000	2.687789e-01	1.996897e+01
KM	200000	3.111524e+00	-2.619725e+00
KM	200000	3.316731e+00	-4.614705e-01
KM	200000	1.820053e+00	-3.781255e+00
KM	200000	3.964159e+00	-1.671334e+00
KM	200000	1.824386e+00	-2.982900e+00
KM	200000	3.922409e+00	-9.880961e-01
KM	200000	3.563931e+00	-1.294793e+00
KM	200000	4.037924e+00	-1.761377e+00
KM	200000	1.030580e+00	-1.353709e+01
KM	200000	1.504248e+00	-7.521055e+00
KM	200000	9.310529e-01	2.115164e+00
KM	200000	9.982002e-01	-3.483999e-01
KM	200000	9.971198e-01	-4.485993e-01
KM	200000	9.957098e-01	-5.506410e-01
KM	200000	9.949118e-01	-6.521806e-01
KM	200000	9.936943e-01	-7.556262e-01
KM	200000	2.068583e+00	-8.700327e-01
KM	200000	1.967258e+00	-1.333354e+00
KM	200000	1.305488e+00	-3.119797e+00
KM	200000	6.259446e-01	-3.808464e+00
KM	200000	2.524091e+00	-6.794015e-01
KM	200000	1.360166e+00	-1.303934e+00
KM	200000	1.079773e+00	-2.816870e+00
KM	200000	1.953523e+00	-2.060866e+00
KM	200000	7.577350e-01	4.169954e+00
KM	200000	1.299845e+00	-2.405371e+00
KM	200000	3.009842e+00	-9.440650e-01
KM	200000	2.634534e+00	-5.013147e-01
KM	200000	3.196141e+00	-2.586503e-01
KM	200000	3.327949e+00	-5.941932e-01
KM	200000	3.153546e+00	-3.283145e-01
KM	200000	2.612651e+00	4.457058e-02
KM	200000	2.961166e+00	-5.566405e-01
KM	200000	2.559031e+00	-5.795789e-02
KM	200000	3.162529e+00	-4.782861e-01
KM	200000	3.248830e+00	-1.108455e+00
KM	200000	2.344621e+00	-4.569494e-01
KM	200000	3.274934e+00	-4.817654e-01
KM	200000	1.744373e+00	-4.003039e+00
KM	200000	2.562187e+00	-2.116538e+00
KM	200000	1.914846e+00	-3.668478e+00
KM	200000	3.199994e+00	-1.047063e+00
KM	200000	2.258607e+00	-2.684225e+00
KM	200000	1.873287e+00	-3.533238e+00
KM	200000	2.620246e+00	-1.271520e+00
KM	200000	2.944783e+00	-2.089934e-01
KM	200000	2.355994e+00	-2.405164e+00
KM	200000	2.145439e+00	-3.586010e+00
KM	200000	2.568435e+00	-1.440205e+00
KM	200000	3.825300e+00	-9.292026e-01
KM	200000	3.223887e+00	-1.340506e+00
KM	200000	2.705244e+00	-1.857767e+00
KM	200000	3.413206e+00	-1.580405e+00
KM	200000	3.347040e+00	-9.730578e-01
KM	200000	3.794398e+00	-6.894590e-01
KM	200000	3.915424e+00	-1.050360e+00
KM	200000	4.046498e+00	-1.001526e+00
KM	200000	2.638984e+00	-3.198453e+00
KM	200000	7.341119e-01	4.329121e+00
KM	200000	2.639271e+00	-1.034280e+00
KM	200000	3.184994e+00	-4.857293e-01
KM	200000	9.977755e-01	-2.818587e-01
KM	200000	9.965661e-01	-3.611003e-01
KM	200000	9.947082e-01	-4.448928e-01
KM	200000	9.939504e-01	-5.260850e-01
KM	200000	9.921804e-01	-6.082426e-01
KM	200000	9.895436e-01	-6.911107e-01
KM	200000	1.132553e+00	-3.220701e-01
KM	200000	2.228414e+00	-5.699602e-01
KM	200000	3.713336e-01	-5.013401e+00
KM	200000	2.695241e+00	-8.905002e-02
KM	200000	2.789518e+00	-6.356486e-02
KM	200000	8.406899e-01	8.003465e-01
KM	200000	9.408165e-01	-9.652401e-01
KM	200000	9.685970e-01	-2.619771e+00
KM	200000	1.042624e+00	-1.259104e+00
KM	200000	1.615184e+00	-9.269538e-01
KM	200000	1.431266e+00	-3.276284e+00
KM	200000	1.761697e+00	-1.340945e+00
KM	200000	2.838696e-01	1.162750e+01
KM	200000	2.264710e+00	-9.865501e-01
KM	200000	2.824874e+00	-1.182784e+00
KM	200000	2.239983e+00	-1.707180e+00
KM	200000	2.607907e+00	7.744801e-02
KM	200000	2.678757e+00	-1.129207e+00
KM	200000	8.005894e-01	-8.314162e+00
KM	200000	2.333536e+00	-2.180712e-01
KM	200000	1.165368e+00	-3.933471e+00
KM	200000	1.787644e+00	-3.053124e+00
KM	200000	2.721066e+00	1.877293e-02
KM	200000	1.694721e+00	-2.994904e+00
KM	200000	3.375497e+00	-3.350359e-01
KM	200000	4.258050e-01	9.237596e+00
KM	200000	2.803183e+00	-3.958193e-02
KM	200000	3.616417e+00	-8.877429e-01
KM	200000	2.554510e+00	-2.154090e+00
KM	200000	3.563644e+00	-7.098800e-01
KM	200000	2.387466e+00	-2.463216e+00
KM	200000	1.452997e+00	-1.984957e+00
KM	200000	5.261304e-01	-1.085235e+01
KM	200000	3.210247e+00	-6.442212e-01
KM	200000	3.458443e+00	-8.892582e-01
KM	200000	2.580295e+00	-4.597943e-01
